ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
7260,PSU 38L,"DSM 43045, ATCC 25173, KCC A-0108, JCM 3108, BCRC 12879, CIP 103037, IAM 15120, IFO 13895, IFO 13899, IMET 11027, KCTC 9232, LMG 16680, MTCC 267, NBRC 13895, NBRC 13899, NCIMB 10801, VKM Ac-1198",1,Agromyces ramosus,2799112209,microaerophile
,,,,,33879.4,
,,,,,GCA_004216665,
170901,F199,"CECT 9230, LMG 30050",1,Arcobacter vitoriensis,GCA_003316695,microaerophile
,,,,,PDKB00000000,
22946,3AD-1,"DSM 25751, JCM 18271",1,Alkalibacterium gilvum,1130080.4,microaerophile
,,,,,2616644817,
,,,,,GCA_900109085,
2243,T22-1-2,"DSM 19180, NBRC 103247, NRIC 0724",1,Alkalibacterium kapii,426704.4,microaerophile
,,,,,GCA_007988865,
2246,T143-1-1,"DSM 19183, NBRC 103242, NRIC 0719",1,Alkalibacterium pelagium,2619619008,microaerophile
,,,,,426702.5,
,,,,,426702.6,
,,,,,GCA_007991315,
,,,,,GCA_900109325,
2245,T129-2-1,"DSM 19182, NBRC 103243, NRIC 0720",1,Alkalibacterium putridalgicola,2619619007,microaerophile
,,,,,426703.4,
,,,,,426703.5,
,,,,,GCA_007988845,
,,,,,GCA_900109825,
2244,T117-1-2,"DSM 19181, NBRC 103241, NRIC 0718",1,Alkalibacterium thalassium,2619619006,microaerophile
,,,,,426701.4,
,,,,,GCA_900101165,
132684,08HL01032,"DSM 102975, ATCC BAA-2361, CCUG 60119, NCTC 13503",1,Allofrancisella guangzhouensis,2718217988,microaerophile
,,,,,GCA_000815225,
2248,01-570-1,"DSM 15817, CCUG 45438, CIP 107425",1,Allofustis seminis,1120978.3,microaerophile
,,,,,2518285549,
,,,,,GCA_000374325,
1767,,"DSM 21503, CCUG 31649, LMG 23792, CIP 109610",1,Alloscardovia omnicolens,1120979.4,microaerophile
,,,,,2523533599,
,,,,,GCA_000420505,
7516,Cr8-25,"DSM 23737, LMG 26215, JCM 18951",1,Alpinimonas psychrophila,2820962504,microaerophile
,,,,,748908.3,
,,,,,GCA_014137865,
