ID,designation_header,strain_number_header,is_type_strain_header,species,Genome seq. accession number,Oxygen tolerance
140601,2-2-12-1,"CGMCC 1.15320, LMG 29090",1,Nitratireductor aestuarii,1735103.3,facultative aerobe
,,,,,GCA_014641695,
11871,NL21,"DSM 15645, ATCC BAA-762, JCM 21793, CGMCC 1.8928, IAM 15348",1,Nitratireductor aquibiodomus,1231185.4,facultative aerobe
,,,,,2585427885,
,,,,,GCA_000615975,
11628,"T 98, T98","DSM 17842, CCBAU 10203, CIP 110608",1,Paenibacillus forsythiae,2926669167,facultative aerobe
140630,SE-S21,"JCM 30137, KACC 18127, LMG 30175",1,Pandoraea terrae,1537710.3,facultative aerobe
,,,,,2901612924,
,,,,,GCA_902459695,
158708,BN5,"KACC 19419, JCM 32303",1,Paraburkholderia aromaticivorans,2775506701,facultative aerobe
,,,,,CP022990,
,,,,,GCA_002278075,
8209,,"DSM 21586, KCCM 42363, NBRC 102354, IMCC 1704",1,Perlucidibaca piscinae,1122951.3,facultative aerobe
,,,,,2524614877,
,,,,,GCA_000420045,
140486,P03D4,"KCTC 52365, MCCC 1K03200, CGMCC 1.15764, JCM 31445",1,Photobacterium alginatilyticum,2905545480,facultative aerobe
,,,,,GCA_009910675,
164329,,"JCM 32689, KCTC 62619, MCCC 1K03517, BEI 247",1,Photobacterium chitinilyticum,GCA_004104355,facultative aerobe
3026,CC-21,"DSM 21352, CCUG 54492, CIP 109510",1,Pseudacidovorax intermedius,2770939510,facultative aerobe
,,,,,433924.4,
,,,,,GCA_003350475,
141126,,"PAMC 27389, JCM 30764, KCTC 42640",1,Cypionkella psychrotolerans,GCA_001294535,facultative aerobe
140034,"E407-8, E407.8","DSM 22401, CCTCC AB 209089, KACC 14030, CCTCC AB 20908",1,Rheinheimera nanhaiensis,2531839457,facultative aerobe
,,,,,562729.3,
,,,,,GCA_000296695,
166317,NAU-18,"KCTC 62418, CCTCC AB 2018075",1,Rhizobium terrae,GCA_003425685,facultative aerobe
13749,"7Vi, JA 181, JA181","DSM 17937, ATCC BAA-1274, JCM 13531, CIP 109728",1,Rhodovulum visakhapatnamense,2802428856,facultative aerobe
,,,,,364297.3,
5634,"8151, RCP-8151","DSM 24015, LMG 26094",1,Riemerella columbipharyngis,1071918.3,facultative aerobe
,,,,,2675903161,
,,,,,GCA_900101995,
140994,BSS09,"KCTC 52373, MCCC 1K03201",1,Roseibium sediminis,1775174.3,facultative aerobe
,,,,,2889952345,
,,,,,GCA_008711325,
164421,DB1506,"JCM 32945, KACC 19791",1,Roseicella frigidaeris,GCA_003258945,facultative aerobe
13962,JA135,"DSM 18985, ATCC BAA-1364, JCM 14191",1,Roseospira goensis,2838110688,facultative aerobe
,,,,,GCA_014197795,
13963,JA131,"DSM 19947, ATCC BAA-1365, JCM 14190",1,Roseospira visakhapatnamensis,2838118685,facultative aerobe
,,,,,GCA_014197915,
24503,MA1-6,"DSM 27839, CCUG 60744, KCTC 23463",1,Ruegeria halocynthiae,2693429872,facultative aerobe
,,,,,985054.8,
,,,,,GCA_900106805,
5734,BH206,"DSM 19287, KCTC 12883",1,Salinimicrobium xinjiangense,1123235.4,facultative aerobe
,,,,,2524023136,
,,,,,GCA_000423585,
11945,,"DSM 18645, MPL 7",1,Schlesneria paludicola,1123242.1,facultative aerobe
,,,,,1123242.11,
,,,,,1123242.3,
,,,,,1123242.8,
,,,,,1123242.9,
,,,,,2548877001,
,,,,,GCA_000255655,
,,,,,GCA_945862235,
,,,,,GCA_945869955,
,,,,,GCA_945876035,
14085,"F5, fav-2-10-05","DSM 21332, CIP 110229, LMG 24563",1,Shewanella corallii,GCA_023349125,facultative aerobe
158555,D1,"KACC 18595, JCM 31225",1,Sphingobacterium humi,1796905.3,facultative aerobe
,,,,,2896301657,
,,,,,GCA_009768885,
14676,"KS-SP60, KS-SP 60","DSM 25293, CCUG 58238, LMG 25332, CCM 7896, CIP 110234",1,Staphylococcus devriesei,2917466835,facultative aerobe
,,,,,586733.6,
,,,,,GCA_002902625,
14848,MV1,"CCUG 66490, DSM 23027, CECT 7613",1,Streptococcus lactarius,684066.7,facultative aerobe
,,,,,684066.8,
,,,,,GCA_016642265,
,,,,,GCA_018127725,
164455,JDX10,"JCM 33126, KCTC 49242, MCCC 1H00351",1,Tessaracoccus antarcticus,GCA_003688855,facultative aerobe
,,,,,REFW00000000,
5258,"Jenil, JS","CCUG 52901, DSM 16501, KCTC 3924, LMG 22864, JCM 18085, CIP 108884, NBRC 106072",1,Tetragenococcus koreensis,2836819050,facultative aerobe
,,,,,290335.3,
,,,,,290335.5,
,,,,,GCA_003795145,
,,,,,GCA_007991535,
5259,T1,"DSM 23765, LMG 26041, LMG 10702, JCM 31126",1,Tetragenococcus osmophilus,2836821788,facultative aerobe
,,,,,526944.4,
,,,,,GCA_003795125,
13785,,"DSM 23402, KCCM 42378, NBRC 102038, HTCC 2662, CIP 109709",0,Tritonibacter mobilis,2816332506,facultative aerobe
,,,,,379347.144,
,,,,,GCA_001681735,
158724,AR23208,"KCTC 33929, JCM 32188",1,Tumebacillus avium,GCA_002162355,facultative aerobe
157132,MBLW1,"CCUG 69661, DSM 105045",1,Tuwongella immobilis,2883404505,facultative aerobe
,,,,,GCA_901538355,
140716,D7T301,"KCTC 21069, JCM 31178",1,Vagococcus martis,GCA_002026305,facultative aerobe
17368,G21,"DSM 22851, CGMCC 1.10228",1,Vibrio xiamenensis,2617270927,facultative aerobe
,,,,,861298.3,
,,,,,GCA_900100015,
