ID,Species,"Culture collection number","Isolation source",Country,Continent,"Category 1","Category 2","Category 3"
16643,,,,,,#Environmental,#Terrestrial,#Volcanic
16643,,,,,,#Environmental,#Terrestrial,"#Mud (Sludge)"
16640,"Acidianus brierleyi","DSM 1651, IFO 15269, NBRC 15269","thermal spring drainage",USA,"North America",#Environmental,#Aquatic,"#Thermal spring"
16641,"Acidianus brierleyi","DSM 6334","hot spring drainage",Italy,Europe,#Condition,"#Thermophilic (>45°C)",
16641,,,,,,#Environmental,#Aquatic,"#Thermal spring"
16642,"Acidianus infernus","DSM 3191, NBRC 106462, JCM 8955, IFO 15270, NBRC 15270","Solfatara Crater###mud, solfatara crater",Italy,Europe,#Environmental,#Terrestrial,"#Mud (Sludge)"
16642,,,,,,#Environmental,#Terrestrial,"#Mud (Sludge)"
130738,"Acidianus sp.","DSM 29038, ALE 1","hot spring",Argentina,"Middle and South America",#Condition,"#Thermophilic (>45°C)",
130738,,,,,,#Environmental,#Aquatic,"#Thermal spring"
131324,"Acidianus sp.","DSM 29099, JCM 30227","Hot spring in Caviahue-Copahue###hot spring",Argentina,"Middle and South America",#Condition,"#Thermophilic (>45°C)",
131324,,,,,,#Environmental,#Aquatic,"#Thermal spring"
131324,,,,,,#Condition,"#Thermophilic (>45°C)",
131324,,,,,,#Environmental,#Aquatic,"#Thermal spring"
16644,"Acidianus sulfidivorans","DSM 18786, JCM 13667","Solfatara on Lihir Island###sulfur-rich acidic edge of a solfataric hot spring","Papua New Guinea","Australia and Oceania",#Condition,"#Thermophilic (>45°C)",
16644,,,,,,#Condition,#Sulfuric,
16644,,,,,,#Condition,#Acidic,
16644,,,,,,#Environmental,#Aquatic,"#Thermal spring"
16644,,,,,,#Condition,"#Thermophilic (>45°C)",
16644,,,,,,#Condition,#Sulfuric,
16644,,,,,,#Condition,#Acidic,
16644,,,,,,#Environmental,#Aquatic,"#Thermal spring"
132568,"Acidibacter ferrireducens","DSM 27237, NCCB 100460, MCF 85","water of pit lake in an abandoned copper mine taken 15 m below the lake surface, pH 2.8",Spain,Europe,#Condition,#Acidic,
132568,,,,,,#Environmental,#Aquatic,"#Lake (large)"
132568,,,,,,#Engineered,#Other,#Mine
79,"Acidicaldus organivorans","DSM 16953","enrichment culture inoculated with a water sample from a Frying Pan thermal spring",USA,"North America",#Condition,"#Thermophilic (>45°C)",
79,,,,,,#Environmental,#Aquatic,"#Thermal spring"
79,,,,,,#Engineered,#Laboratory,"#Lab enrichment"
133054,"Acidicapsa acidiphila","DSM 29819, NCCB 100576, MCF 10","acidic metal-mine pit lake",Spain,Europe,#Condition,#Acidic,
133054,,,,,,#Environmental,#Aquatic,"#Lake (large)"
133054,,,,,,#Engineered,#Other,#Mine
133383,"Acidicapsa acidisoli","DSM 100508, NBRC 111227","acidic soil of a deciduous forest###soil of a deciduous forest",Japan,Asia,#Environmental,#Terrestrial,#Soil
133383,,,,,,#Environmental,#Terrestrial,#Forest
133383,,,,,,#Environmental,#Terrestrial,#Soil
133383,,,,,,#Environmental,#Terrestrial,#Forest
142,"Acidicapsa borealis","DSM 23886, LMG 25897, VKM B-2678","Katin Mokh
Sphagnum peat bog",Russia,Europe,#Host,#Plants,"#Peat moss"
142,,,,,,#Environmental,#Terrestrial,"#Wetland (Swamp)"
142,,,,,,#Host,#Plants,"#Peat moss"
142,,,,,,#Environmental,#Terrestrial,"#Wetland (Swamp)"
